id,start_date,end_date,title,category,location,description,access,notes,source_url,verified_on
lords-england-west-indies-women,2026-06-24,2026-06-24,England Women v West Indies Women T20,Sport & society,Lord's Cricket Ground,An evening women's international T20 at Lord's.,Ticketed / members,,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
bst-hyde-park,2026-06-27,2026-07-12,BST Hyde Park,Music,Hyde Park,Major open-air concerts across three summer weekends.,Ticketed,Concerts take place on selected dates within the span.,https://www.royalparks.org.uk/whats-on/bst-hyde-park-2026,2026-09-08
lords-world-cup-doubleheader,2026-06-28,2026-06-28,ICC Women's T20 World Cup double-header,Sport & society,Lord's Cricket Ground,South Africa play a qualifier before Australia face India.,Ticketed / members,One ticket covers the scheduled double-header.,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
wimbledon,2026-06-29,2026-07-12,"The Championships, Wimbledon",Sport & society,All England Lawn Tennis Club,The fortnight of grass-court tennis in Wimbledon.,Ticketed,,https://www.wimbledon.com/en_GB/atoz/dates.html,2026-09-07
henley,2026-06-30,2026-07-05,Henley Royal Regatta,Sport & society,Henley-on-Thames,Six days of rowing on the Thames.,Public riverside / enclosures,Enclosure access and dress requirements differ.,https://www.hrr.co.uk/racing-schedule/,2026-09-07
pride-london,2026-07-04,2026-07-04,Pride in London,Festivals,Central London parade route,London's principal Pride parade and central-stage programme.,Public / capacity controlled,Route and stage areas are subject to crowd controls.,https://prideinlondon.org/rbl,2026-09-08
lords-world-cup-final,2026-07-05,2026-07-05,ICC Women's T20 World Cup Final,Sport & society,Lord's Cricket Ground,The final of the Women's T20 World Cup at Lord's.,Ticketed / members,,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
buckingham-summer-2026,2026-07-09,2026-07-31,Buckingham Palace Summer Opening,Heritage,Buckingham Palace,The State Rooms open for the summer with a major Picture Gallery rehang.,Timed tickets,Continues to 27 September beyond the calendar window.,https://www.rct.uk/visit/buckingham-palace,2026-09-08
goodwood-festival-speed,2026-07-09,2026-07-12,Goodwood Festival of Speed,Motoring,"Goodwood Estate, West Sussex",Historic and contemporary competition cars on the hillclimb and estate.,Ticketed / hospitality,,https://media.goodwood.com/globalassets/press--media/2026/dates/save-the-date-goodwoods-2026-event-season-is-here.pdf,2026-09-08
lords-england-india-women-test,2026-07-10,2026-07-13,England Women v India Women Test,Sport & society,Lord's Cricket Ground,A four-day women's Test match at Lord's.,Ticketed / members,Play and finish times are weather dependent.,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
royal-gun-salute-july,2026-07-17,2026-07-17,The Queen's Birthday Gun Salute,Heritage,Hyde Park,A Royal Horse Artillery gun salute marking The Queen's birthday.,Public,Timing and ceremonial arrangements are published by the Royal Parks.,https://www.royalparks.org.uk/royal-gun-salutes,2026-09-08
cowdray-gold-cup-final,2026-07-19,2026-07-19,Cowdray Gold Cup Final,Sport & society,"Cowdray Park, West Sussex",The final of the British Open Polo Championship.,Ticketed / hospitality,The wider tournament runs for about three weeks before the final.,https://cowdraypolo.co.uk/gold-cup-final/,2026-09-08
lords-england-india-odi,2026-07-19,2026-07-19,England v India Men's ODI,Sport & society,Lord's Cricket Ground,A men's one-day international at Lord's.,Ticketed / members,,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
hpa-international,2026-07-25,2026-07-25,HPA International Day,Sport & society,"Guards Polo Club, Windsor Great Park",International polo at Smith’s Lawn.,Ticketed / members,,https://www.guardspoloclub.com/flipbooks/hospitality-2026/4/,2026-09-07
qatar-goodwood,2026-07-28,2026-07-31,Qatar Goodwood Festival,Sport & society,"Goodwood Racecourse, West Sussex",The opening four days of Glorious Goodwood racing.,Ticketed / hospitality,The meeting continues on 1 August beyond the calendar window.,https://media.goodwood.com/globalassets/press--media/2026/dates/save-the-date-goodwoods-2026-event-season-is-here.pdf,2026-09-08
